Unnamed: 0,text,created_at,user_followers,user_friends,retweet_count,favorite_count,processed_text,label,word_count
0,Teater menjadi sorotan media. ,2024-03-05 22:00:06,-1.353750928561432,-0.7461163845729494,-0.8586299437640595,-0.625832046030634,teater menjadi sorotan media,1,3
1,Pencemaran nama baik polisi masih memburu pelaku. ,2024-06-21 23:34:24,-0.4980023324908044,0.6310092927618693,-1.2389034601590097,1.0244350124679955,pencemaran nama baik polisi memburu pelaku,0,5
2,Pemalsuan tersangka akan segera diadili. ,2024-05-09 13:56:44,0.7578228070552772,-1.530040268106721,-1.5846066568816917,1.2090802777545555,pemalsuan tersangka segera diadili,0,3
3,Energi terbarukan menyediakan fasilitas baru. ,2024-06-24 09:12:59,0.8098996130661542,1.59373513542007,1.3953548988678264,-0.9720419184429339,energi terbarukan menyediakan fasilitas baru,1,4
4,Penganiayaan tersangka mencoba melarikan diri. ,2024-01-21 10:44:27,-0.7622569359649167,-0.780474408090977,0.6486359939468336,0.8628704053422556,penganiayaan tersangka mencoba melarikan diri,0,4
5,Penggelapan kejadian ini menggemparkan warga. ,2024-02-04 15:57:08,1.0671168103225805,0.3898019439822473,-0.36773140441785124,1.0128946833875856,penggelapan kejadian menggemparkan warga,0,4
6,Pencurian warga diminta waspada. ,2024-07-15 08:35:24,-0.63417614280303,0.6871040250362,-1.5292941454060625,-0.2680818445379241,pencurian warga diminta waspada,1,3
7,Desain produk menyediakan fasilitas baru. ,2024-04-16 00:03:27,0.9700006045185126,0.08338446893371586,-0.3953876601556658,0.18199098959806576,desain produk menyediakan fasilitas baru,1,4
8,Pameran seni memecahkan rekor. ,2024-05-12 06:47:45,0.06182333212612354,-0.5063114041001857,0.19922183820734707,0.7820881017793856,pameran seni memecahkan rekor,1,4
9,Perumahan meraih penghargaan internasional. ,2024-03-26 04:10:22,-0.7045502049798908,1.3728621270898929,0.9528548070627937,-1.5259777143026136,perumahan meraih penghargaan internasional,2,4
10,Sosial menyediakan fasilitas baru. ,2024-03-14 15:25:55,-0.6253793850309225,1.0636399154276448,0.8768001037838036,-1.0989855383274438,sosial menyediakan fasilitas baru,1,3
11,Narkoba korban diminta melapor. ,2024-06-28 02:35:24,-0.3516242831629338,1.5649865851294755,1.291643939851022,-0.718154678673914,narkoba korban diminta melapor,0,3
12,Pembunuhan tersangka mencoba melarikan diri. ,2024-07-28 09:46:40,-0.373792112748645,-1.567203028238465,-1.1697628208144732,-1.6760019923479437,pembunuhan tersangka mencoba melarikan diri,0,4
13,Kejahatan siber kasus meningkat selama pandemi. ,2024-07-25 16:28:29,1.3415756528123377,0.5188198282132079,-1.1905050126178343,-0.9605015893625239,kejahatan siber kasus meningkat selama pandemi,0,4
14,Pemalsuan tersangka mengaku bersalah. ,2024-01-26 12:25:42,0.578368948504282,-1.6331143386608036,1.3815267709989192,-1.029743563844984,pemalsuan tersangka mengaku bersalah,0,4
15,Kekerasan warga diminta waspada. ,2024-07-27 12:58:58,-1.1996317323941068,-0.24617208317797704,1.1464485972274956,0.6320638237340557,kekerasan warga diminta waspada,2,3
16,Festival menggali potensi lokal. ,2024-01-07 21:40:03,-1.2865436991825299,1.430359227671082,-0.4990986191724704,-0.556590071548174,festival menggali potensi lokal,2,4
17,Pelecehan polisi masih memburu pelaku. ,2024-04-17 00:53:39,-0.6992721503166264,0.8862403246100741,1.0358235742762374,-0.12959789557300413,pelecehan polisi memburu pelaku,0,4
18,Penipuan berhasil ditangkap. ,2024-05-17 22:05:34,-0.37203276119422346,1.085376624183948,0.372073436568688,0.9321123798247155,penipuan berhasil ditangkap,0,3
19,Perdagangan manusia kasus ini menarik perhatian publik. ,2024-03-21 22:26:32,-0.5173551995894411,1.0475126798987748,-0.8932002634363277,0.8167090890206156,perdagangan manusia kasus menarik perhatian publik,1,5
20,Sosial diselenggarakan dengan sangat baik. ,2024-06-19 04:20:43,0.031914355700957686,-1.4508064587692289,-1.536208209340516,-0.637372375111044,sosial diselenggarakan sangat baik,1,2
21,Kemitraan menjunjung tinggi nilai budaya. ,2024-05-06 20:17:07,0.7423405133763677,0.880630851382641,1.0496517021451446,1.2552415940761954,kemitraan menjunjung tinggi nilai budaya,2,4
22,Korupsi korban diminta melapor. ,2024-07-15 22:03:29,-0.2548599476697502,1.158299776140578,-1.1282784372077515,1.1859996195937355,korupsi korban diminta melapor,0,3
23,Budaya menjadi trend baru. ,2024-04-26 14:30:37,-0.911801818090746,-0.4901841685713156,1.2225033005064856,0.7243864563773356,budaya menjadi trend baru,0,2
24,Karnaval meraih penghargaan internasional. ,2024-05-31 12:37:01,1.081543493068837,-0.9452526841468234,0.79383133657036,1.2783222522370155,karnaval meraih penghargaan internasional,2,4
25,Ekonomi kreatif mendorong inovasi lokal. ,2024-02-08 08:02:31,0.4312871585546429,1.587424478039208,-1.5223800814716089,0.18199098959806576,ekonomi kreatif mendorong inovasi lokal,1,5
26,Pemerasan motif masih belum diketahui. ,2024-06-10 22:15:31,0.20714577052134114,-1.0504303071611936,0.22687809394516165,1.6360724537297253,pemerasan motif diketahui,1,2
27,Pelatihan menciptakan lapangan kerja baru. ,2024-04-05 15:36:47,0.6818188199042674,-1.194173058614166,-1.0867940536010297,-1.6644616632675338,pelatihan menciptakan lapangan kerja baru,1,4
28,Begal ada saksi yang melihat kejadian. ,2024-02-09 00:58:33,-0.732347959539751,-0.6290186309502841,-1.3426144191758143,-1.5605987015438438,begal saksi melihat kejadian,0,3
29,Pemerasan polisi masih memburu pelaku. ,2024-07-13 19:36:46,1.5256038254048288,-1.1310664848055438,0.8560579119804427,0.8744107344226656,pemerasan polisi memburu pelaku,0,4
30,Pencemaran nama baik pelaku berhasil melarikan diri. ,2024-07-28 06:15:55,-0.5127808855479451,-0.11505064648672901,0.7316047611602772,-1.3182517908552338,pencemaran nama baik pelaku berhasil melarikan diri,0,5
31,Pencemaran nama baik masih dalam penyelidikan. ,2024-07-07 18:52:09,-0.8227786294370171,-1.6681735463322604,-1.688317615898496,-0.602751387869814,pencemaran nama baik penyelidikan,0,3
32,Pembangunan mengalami peningkatan. ,2024-07-05 06:14:51,0.0005978980322546162,0.6590566588990348,0.6762922496846481,1.1167576451112755,pembangunan mengalami peningkatan,2,3
33,Pelecehan ada saksi yang melihat kejadian. ,2024-06-25 00:12:48,-0.3238265286030738,-1.2958447608613903,-0.13265323064642756,0.7590074436185656,pelecehan saksi melihat kejadian,0,3
34,Pembakaran korban diminta melapor. ,2024-04-21 05:53:49,0.9133494844661396,1.4436817265862354,0.1853937103384398,-0.879719285799654,pembakaran korban diminta melapor,0,3
35,Kegiatan ekstrakurikuler mendapat dukungan dari pemerintah. ,2024-05-14 00:21:46,-0.9783053068478795,-1.4865668505941148,-1.612262912619506,1.1398383032720956,kegiatan ekstrakurikuler mendapat dukungan pemerintah,1,4
